Fuente propia,Acrónimo,,,
Agencia Estatal de Investigación,AEI,,,
Bibliografía,Biblio,,,
Congresos Humanidades Digitales Hispánicas,CHDH,,,
CONGRESO INTERNACIONAL HUMANIDADES DIGITALES: VISIBILIDAD Y DIFUSIÓN DE LA INVESTIGACIÓN,CHDH2,,,
GrinUGR,GrinUGR,,,
Fundación BBVA,FBBVA,,,
Fuente propia,Propia,,,
Red Knowmetrics,RedK,,,
Congreso Territorios digitales,CTD,,,
Proyectos subvencionados RecerCaixa,RCaixa,,,
Google,Google,,,
ARACNE,ARACNE,,,
Jornada: Proyectos de humanidades digitales en la BNE,BNE-HD,,,
Web personal,WebP,,,
I Jornada científico-técnica en Humanidades Digitales en el CSIC,CSIC1,,,
LINHD,LINHD,,,
Proyectos MediaLab UGR,Medialab,,,
Biblioteca Virtual Miguel de Cervantes,BVMC,,,
BIDISO,BIDISO,,,
Portal del Hispanismo,PHisp,,,
I EDICIÓN DE LOS PREMIOS HDH 2018,HDH-P,,,
Academia.edu,Ac.Edu,,,
Diarium (USAL),D-USAL,,,
Seminario Historia y Humanidades Digitales UCLM 2017,UCMLHD,,,
Proyecto Andrés de Poza,PAdP,,,
Proyecto ReMetCa,ReMetCa,,,
http://www.consorciomadrono.es/disponibles-los-videos-jornadas-futuro,Madroño,,,
CORDIS (EU research results),CORDIS,,,
