Área de procedencia/disciplina,Disciplinary background
Antropología,Anthropology
Arqueología,Archaeology
Arquitectura,Architecture
Artes visuales,Visual Arts
Biblioteconomía y documentación,Library and Documentation Science
Ciencias de la computación,Computer Science
Ciencias de la educación,Education Science
Ciencias de la Tierra,Earth Science
Comunicación,Communication
Derecho,Law
Economía,Economy
Filología,Philology
Filosofía,Philosophy
Geografía,Geography
Historia,History
Historia del Arte,History of Art
Lingüística y lenguas,Linguistics
Musicología,Musicology
Otras,Others
Sociología,Sociology
Urbanismo,Urbanism
Traducción e interpretación,Translation and interprepation
Periodismo,Journalism
Bellas Artes,Fine Arts
