"ID investigador","Género","Universidad","Departamento / Centro","Latitude","Longitude","Área de procedencia/disciplina","Temas de investigación","Fuente de información","Última actualización","Estado"
"2559","Femenino","Universidad del País Vasco","Filología","43.33140590000001","-2.9706058","Filología","Traducción","Google","05 Feb 2020","Listo"
"1438","Masculino","Universidad de Barcelona","Comunicación","41.386608","2.1640199999999368","Biblioteconomía y documentación | Filosofía","Comunicación digital | Estudios literarios digitales | GLAM","Bibliografía","17 Dec 2019","Listo"
"2417","Masculino","Universidad de Granada","Departamento de Urbanística y Ordenación del Territorio","37.1844433","-3.600575299999946","Urbanismo","SIG y análisis geoespacial | Tecnologías de aprendizaje colaborativo","Proyectos MediaLabUGR","17 Dec 2019","Listo"
"2546","Masculino","Universidad de Santiago de Compostela","Filología","42.8885225","-8.5449726","Filología","Estudios literarios digitales","Agencia Estatal de Investigación","20 Jan 2020","Listo"
"1542","Masculino","Universidad de Granada","Prehistoria y Arqueología","37.1839398","-3.6010181999999986","Arqueología","Patrimonio digital","Proyectos MediaLabUGR","07 Jan 2020","Listo"
"1372","Masculino","Fundación Ignacio Larramendi","","40.4433571","-3.700509199999942","Biblioteconomía y documentación","GLAM | Bibliotecas digitales | Web semántica | XML/TEI","GrinUGR","23 Feb 2020","Listo"
"1437","Masculino","Universidad de Huelva","Educación","37.2703682","-6.922983499999987","Ciencias de la educación","Comunicación digital","Bibliografía","29 Dec 2019","Listo"
"180","Femenino","Universidad de Barcelona","Filología","41.386608","2.1640199999999368","Filología","Lingüística computacional","Fundación BBVA","17 Dec 2019","Listo"
"1534","Masculino","Universitat Oberta de Catalunya","Humanidades","41.406498","2.1945431999999983","Ciencias de la computación","Análisis de interfaces y tecnología","Bibliografía","17 Dec 2019","Listo"
"2553","Femenino","Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC)","Institución Milá y Fontanals","41.3808575","2.1689721","Arqueología","Patrimonio digital","Agencia Estatal de Investigación","20 Jan 2020","Listo"
