"ID proyecto","Título","Código proyecto","Área de procedencia/disciplina","Temas de investigación","Programa","Subprograma","Palabra clave AEI","Temporalización (inicio)","Temporalización (fin)","Convocatoria","Convocatoria (año)","Años","Financiación","Entidad financiadora","Página web y redes sociales","ID investigadores","Fuente de información","Nº de IPs","Género IP","CCAA","Organismo","Centro","Estado","Última actualización"
"1348"," Actualización y ampliación del Laboratorio de Proceso Digital de Imagen del Departamento de Prehistoria del Centro de Estudios Históricos (CSIC)","","Arqueología","Análisis de imágenes | Artes visuales","","","","1995","1995","Programa de Acciones Especiales y Acciones de Política Científica","","","12439","Consejo Superior de Investigaciones Científicas (CSIC)","","1343","Congresos HDH","1","Masculino","MADRID","AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","INSTITUTO DE HISTORIA (IH)","Listo","29 Dec 2019"
"1346"," Aplicaciones del proceso digital de imagen al estudio y conservación del arte rupestre prehistórico","PB95 0227","Arqueología","Análisis de imágenes | Artes visuales","","","","1996","1996","","","","","Dirección General de Investigación Científica y Técnica (DGICYT)","","1343","Congresos HDH","1","Masculino","MADRID","AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC)","INSTITUTO DE HISTORIA (IH)","Listo","29 Dec 2019"
"1357"," BITE II: Bibliografía temática de la Historiografía Lingüística Española","URJC-CM-2006-CSH-0390","Lingüística y lenguas","Bases de datos","","","","2007","2007","","","","","Comunidad de Madrid | Universidad Rey Juan Carlos (URJC)","","1355","Congresos HDH","","Masculino","MADRID","UNIVERSIDAD REY JUAN CARLOS","","Listo","07 Jan 2020"
"1357"," BITE II: Bibliografía temática de la Historiografía Lingüística Española","URJC-CM-2006-CSH-0390","Lingüística y lenguas","Bases de datos","","","","2007","2007","","","","","Comunidad de Madrid | Universidad Rey Juan Carlos (URJC)","","1354","Congresos HDH","","Masculino","MADRID","UNIVERSIDAD REY JUAN CARLOS","","Listo","07 Jan 2020"
"1357"," BITE II: Bibliografía temática de la Historiografía Lingüística Española","URJC-CM-2006-CSH-0390","Lingüística y lenguas","Bases de datos","","","","2007","2007","","","","","Comunidad de Madrid | Universidad Rey Juan Carlos (URJC)","","1295","Congresos HDH","","Masculino","MADRID","UNIVERSIDAD REY JUAN CARLOS","","Listo","07 Jan 2020"
"1357"," BITE II: Bibliografía temática de la Historiografía Lingüística Española","URJC-CM-2006-CSH-0390","Lingüística y lenguas","Bases de datos","","","","2007","2007","","","","","Comunidad de Madrid | Universidad Rey Juan Carlos (URJC)","","1358","Congresos HDH","","Masculino","MADRID","UNIVERSIDAD REY JUAN CARLOS","","Listo","07 Jan 2020"
"141"," eLITE-CM, Edición literaria electrónica  ","H2015/HUM-3426","Filología","Estudios literarios digitales","","","","2015","2018","","","","","Comunidad de Madrid","https://www.ucm.es/edicionliterariaelectronica/, https://twitter.com/e_LITEMAD?lang=ES, http://www.bne.es/es/Colecciones/LibrosInteractivos/Subcolecciones/edad-plata-in...","140","Fuente propia","1","Femenino","MADRID","UNIVERSIDAD COMPLUTENSE DE MADRID","DPTO. FILOLOGIA ESPAÑOLA II (LITERATURA ESPAÑOLA)","Listo","01 Mar 2020"
"141"," eLITE-CM, Edición literaria electrónica  ","H2015/HUM-3426","Filología","Estudios literarios digitales","","","","2015","2018","","","","","Comunidad de Madrid","https://www.ucm.es/edicionliterariaelectronica/, https://twitter.com/e_LITEMAD?lang=ES, http://www.bne.es/es/Colecciones/LibrosInteractivos/Subcolecciones/edad-plata-in...","149","Fuente propia","1","Femenino","MADRID","UNIVERSIDAD COMPLUTENSE DE MADRID","DPTO. FILOLOGIA ESPAÑOLA II (LITERATURA ESPAÑOLA)","Listo","01 Mar 2020"
"141"," eLITE-CM, Edición literaria electrónica  ","H2015/HUM-3426","Filología","Estudios literarios digitales","","","","2015","2018","","","","","Comunidad de Madrid","https://www.ucm.es/edicionliterariaelectronica/, https://twitter.com/e_LITEMAD?lang=ES, http://www.bne.es/es/Colecciones/LibrosInteractivos/Subcolecciones/edad-plata-in...","1335","Fuente propia","1","Femenino","MADRID","UNIVERSIDAD COMPLUTENSE DE MADRID","DPTO. FILOLOGIA ESPAÑOLA II (LITERATURA ESPAÑOLA)","Listo","01 Mar 2020"
"141"," eLITE-CM, Edición literaria electrónica  ","H2015/HUM-3426","Filología","Estudios literarios digitales","","","","2015","2018","","","","","Comunidad de Madrid","https://www.ucm.es/edicionliterariaelectronica/, https://twitter.com/e_LITEMAD?lang=ES, http://www.bne.es/es/Colecciones/LibrosInteractivos/Subcolecciones/edad-plata-in...","1508","Fuente propia","1","Femenino","MADRID","UNIVERSIDAD COMPLUTENSE DE MADRID","DPTO. FILOLOGIA ESPAÑOLA II (LITERATURA ESPAÑOLA)","Listo","01 Mar 2020"
