"ID recurso","Título","Tipología","Año de publicación","Público/privado","Página web","Proyectos relacionados","ID proyectos","Fuente de información","Estado","Última actualización"
"2174","AccesoAbierto.net ","Portal Web","2011","Público","https://www.accesoabierto.net/politicas/","El acceso abierto a la producción científica en España: análisis de la situación actual y presentación de políticas y estrategias para promover su desarrollo","2176","Congresos HDH","Listo","29 Apr 2020"
"2174","AccesoAbierto.net ","Portal Web","2011","Público","https://www.accesoabierto.net/politicas/","EL ACCESO ABIERTO (OPEN ACCESS) A LA CIENCIA EN ESPAÑA: ANALISIS DEL GRADO DE IMPLANTACION Y DE LA SOSTENIBILIDAD DE UN NUEVO MODELO DE COMUNICACION CIENTIFICA","2175","Congresos HDH","Listo","29 Apr 2020"
"2174","AccesoAbierto.net ","Portal Web","2011","Público","https://www.accesoabierto.net/politicas/","EL ACCESO ABIERTO A LA CIENCIA EN ESPAÑA: EVALUACION DE SU IMPACTO EN EL SISTEMA DE COMUNICACIÓN CIENTÍFICA","2170","Congresos HDH","Listo","29 Apr 2020"
"2573","Ajuares Domésticos - Catálogo Web de enseres de casa del reino de Granada (s. XVIII)","Base de datos","2015","Privado","https://proyectoajuaresdomesticos.es/","","","Fuente propia","Listo","13 Apr 2020"
"2420","ALMAHISTO – EL ALMACÉN DE LA HISTORIA REPOSITORIO DE HISTORIOGRAFÍA ESPAÑOLA (1700-1939)","Repositorio","2015","Público","https://e-archivo.uc3m.es/handle/10016/19460","El Almacén de la Historia. Repositorio de historiografía española (1700-1939)","1449","Fuente propia","Listo","20 Dec 2019"
"1312","Amadís: Base de datos de literatura caballeresca","Base de datos","2007","Público","http://155.210.12.154/clarisel/paginas/index.php?base=amadis&opcion=presentacion","Acción Complementaria ""Humanidades Digitales y Letras Hispánicas""","1310","Portal del Hispanismo","Listo","20 Dec 2019"
"191","Ancestors: Historias de Atapuerca","Aplicación móvil","2018","Público","http://www.murphystoastgames.com/sheet.php?p=ancestors","Atapuerca-Evolución. Videojuegos Educativos","190","Fundación BBVA","Listo","22 Dec 2019"
"144","Archivo digital Valle-Inclán","Biblioteca digital","2018","Público","http://www.archivodigitalvalleinclan.es","La obra y el legado manuscrito de Valle-Inclán: edición y estudios críticos","1360","PREMIOS HDH, Red Knowmetrics","Listo","15 Apr 2020"
"2564","Arqueología en Red","Catálogo en línea","2018","Público","https://virtual3dugr.prehistoriayarqueologia.org/","","","Proyectos MediaLabUGR","Incompleta","20 Apr 2020"
"1411","ARTELOPE (Base de datos y Argumentos del teatro de Lope de Vega)","Base de datos","2011","Público","https://artelope.uv.es/#inicio","","","Fuente propia","Listo","22 Dec 2019"
"1365","Atlas de Ciencias Sociales y Humanidades Digitales","Mapa","2011","Público","http://grinugr.org/mapa/","","","GrinUGR","Listo","19 Apr 2020"
"1452","Banco de Datos de Lenguas Paleohispánicas HESPERIA","Base de datos","1997","Público","http://hesperia.ucm.es/index.php","","","I Jornada científico-técnica en Humanidades Digitales en el CSIC","Listo","20 Apr 2020"
"1510","Banco de imágenes del Quijote","Repositorio","2005","Público","http://qbi2005.windows.cervantesvirtual.com/Default.aspx","","","Red Knowmetrics","Listo","20 Apr 2020"
"1362","Base de datos BDAFRICA","Base de datos","2016","Público","http://www.bdafrica.eu/","","","Congresos HDH","Listo","22 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Acción Complementaria ""Humanidades Digitales y Letras Hispánicas""","1310","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Biblioteca digital Siglo de Oro I: Emblemática, Relaciones de sucesos y misceláneas de erudición (catalogación, digitalización y difusión vía Internet)","1275","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Biblioteca Digital Siglo de Oro II: Relaciones de sucesos, Polianteas y fuentes de erudicion en la Edad Moderna (catalogacion, digitalización y difusión vía Internet)","1276","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Biblioteca Digital Siglo de Oro III","1277","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Biblioteca Digital Siglo de Oro IV: Relaciones de Sucesos, Polianteas y Fuentes de erudición en la Edad Moderna (Catalogación, digitalización y difusión vía internet)","1280","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Biblioteca Digital Siglo de Oro V","1282","Red ARACNE","Listo","20 Dec 2019"
"1287","Base de datos DEBOW (Digital Emblem Books on Web) ","Base de datos","2006","Público","http://debow.bidiso.es/","Base de datos y edición digitalizada de las obras de Emblemática Hispánica ilustradas, bajo INTERNET","1290","Red ARACNE","Listo","20 Dec 2019"
"1363","BETTE (Biblioteca Electrónica Textual del Teatro Español, 1868-1936)","Biblioteca digital","2015","Público","https://github.com/GHEDI/BETTE","","","Congresos HDH","Listo","22 Dec 2019"
